timestamp, power.draw [W], utilization.gpu [%]
2026/02/12 17:14:15.983, 11.01 W, 0 %
2026/02/12 17:14:16.983, 10.90 W, 0 %
2026/02/12 17:14:17.983, 11.02 W, 0 %
2026/02/12 17:14:18.983, 11.22 W, 0 %
2026/02/12 17:14:19.983, 11.14 W, 0 %
2026/02/12 17:14:20.983, 10.79 W, 0 %
2026/02/12 17:14:21.984, 10.13 W, 0 %
2026/02/12 17:14:22.984, 9.76 W, 0 %
2026/02/12 17:14:23.984, 10.28 W, 0 %
2026/02/12 17:14:24.984, 10.31 W, 0 %
2026/02/12 17:14:25.984, 10.55 W, 0 %
2026/02/12 17:14:26.985, 10.43 W, 0 %
2026/02/12 17:14:27.985, 10.11 W, 0 %
2026/02/12 17:14:28.985, 10.54 W, 0 %
2026/02/12 17:14:29.985, 11.40 W, 0 %
2026/02/12 17:14:30.985, 11.33 W, 0 %
2026/02/12 17:14:31.985, 11.28 W, 0 %
2026/02/12 17:14:32.986, 10.85 W, 0 %
2026/02/12 17:14:33.986, 10.49 W, 0 %
2026/02/12 17:14:34.986, 10.85 W, 0 %
2026/02/12 17:14:35.986, 10.94 W, 0 %
2026/02/12 17:14:36.986, 10.31 W, 0 %
2026/02/12 17:14:37.986, 9.91 W, 0 %
2026/02/12 17:14:38.986, 9.51 W, 0 %
2026/02/12 17:14:39.987, 10.11 W, 0 %
2026/02/12 17:14:40.987, 10.83 W, 0 %
2026/02/12 17:14:41.987, 10.89 W, 0 %
2026/02/12 17:14:42.987, 10.86 W, 0 %
2026/02/12 17:14:43.987, 10.22 W, 0 %
2026/02/12 17:14:44.987, 9.94 W, 0 %
2026/02/12 17:14:45.987, 10.65 W, 0 %
2026/02/12 17:14:46.988, 10.76 W, 0 %
2026/02/12 17:14:47.988, 10.81 W, 0 %
2026/02/12 17:14:48.988, 10.65 W, 0 %
2026/02/12 17:14:49.988, 10.59 W, 0 %
2026/02/12 17:14:50.988, 10.83 W, 0 %
