timestamp, power.draw [W], utilization.gpu [%]
2025/12/19 10:32:26.080, 318.64 W, 100 %
2025/12/19 10:32:27.080, 319.29 W, 100 %
2025/12/19 10:32:28.080, 319.92 W, 100 %
2025/12/19 10:32:29.080, 318.88 W, 100 %
2025/12/19 10:32:30.081, 319.15 W, 100 %
2025/12/19 10:32:31.081, 319.68 W, 100 %
2025/12/19 10:32:32.081, 318.89 W, 100 %
2025/12/19 10:32:33.081, 317.72 W, 100 %
2025/12/19 10:32:34.081, 319.81 W, 100 %
2025/12/19 10:32:35.081, 319.09 W, 100 %
2025/12/19 10:32:36.082, 319.21 W, 100 %
2025/12/19 10:32:37.082, 320.04 W, 100 %
2025/12/19 10:32:38.082, 318.82 W, 100 %
2025/12/19 10:32:39.082, 318.85 W, 100 %
2025/12/19 10:32:40.082, 319.71 W, 100 %
2025/12/19 10:32:41.082, 318.94 W, 100 %
2025/12/19 10:32:42.082, 318.84 W, 100 %
2025/12/19 10:32:43.083, 320.48 W, 100 %
2025/12/19 10:32:44.083, 319.67 W, 100 %
2025/12/19 10:32:45.083, 318.96 W, 100 %
2025/12/19 10:32:46.083, 321.46 W, 100 %
2025/12/19 10:32:47.083, 318.80 W, 100 %
2025/12/19 10:32:48.083, 318.76 W, 100 %
2025/12/19 10:32:49.084, 320.03 W, 100 %
2025/12/19 10:32:50.084, 319.04 W, 100 %
2025/12/19 10:32:51.084, 318.69 W, 100 %
2025/12/19 10:32:52.084, 318.66 W, 100 %
2025/12/19 10:32:53.084, 319.70 W, 100 %
2025/12/19 10:32:54.084, 318.61 W, 100 %
2025/12/19 10:32:55.085, 318.37 W, 100 %
2025/12/19 10:32:56.085, 319.61 W, 100 %
2025/12/19 10:32:57.085, 318.83 W, 100 %
2025/12/19 10:32:58.085, 318.99 W, 100 %
2025/12/19 10:32:59.085, 318.77 W, 100 %
2025/12/19 10:33:00.085, 319.48 W, 100 %
2025/12/19 10:33:01.086, 319.36 W, 100 %
2025/12/19 10:33:02.086, 318.63 W, 100 %
2025/12/19 10:33:03.086, 318.02 W, 100 %
2025/12/19 10:33:04.086, 319.17 W, 100 %
2025/12/19 10:33:05.086, 319.64 W, 100 %
2025/12/19 10:33:06.086, 317.91 W, 100 %
2025/12/19 10:33:07.086, 318.59 W, 100 %
2025/12/19 10:33:08.087, 319.82 W, 100 %
2025/12/19 10:33:09.087, 320.12 W, 100 %
2025/12/19 10:33:10.087, 318.12 W, 100 %
2025/12/19 10:33:11.087, 319.17 W, 100 %
2025/12/19 10:33:12.087, 319.22 W, 100 %
2025/12/19 10:33:13.087, 319.37 W, 100 %
2025/12/19 10:33:14.088, 318.88 W, 100 %
2025/12/19 10:33:15.088, 318.98 W, 100 %
2025/12/19 10:33:16.088, 318.79 W, 100 %
2025/12/19 10:33:17.088, 318.73 W, 100 %
2025/12/19 10:33:18.088, 319.99 W, 100 %
2025/12/19 10:33:19.088, 319.52 W, 100 %
2025/12/19 10:33:20.088, 319.47 W, 100 %
2025/12/19 10:33:21.089, 320.76 W, 100 %
2025/12/19 10:33:22.089, 319.16 W, 100 %
2025/12/19 10:33:23.089, 318.68 W, 100 %
2025/12/19 10:33:24.089, 321.56 W, 100 %
2025/12/19 10:33:25.089, 319.78 W, 100 %
2025/12/19 10:33:26.089, 317.58 W, 100 %
2025/12/19 10:33:27.090, 321.04 W, 100 %
2025/12/19 10:33:28.090, 319.51 W, 100 %
2025/12/19 10:33:29.090, 318.94 W, 100 %
2025/12/19 10:33:30.090, 319.25 W, 100 %
2025/12/19 10:33:31.090, 319.65 W, 100 %
2025/12/19 10:33:32.090, 319.69 W, 100 %
2025/12/19 10:33:33.091, 319.17 W, 100 %
2025/12/19 10:33:34.091, 318.86 W, 100 %
2025/12/19 10:33:35.091, 320.10 W, 100 %
2025/12/19 10:33:36.091, 319.48 W, 100 %
2025/12/19 10:33:37.091, 319.78 W, 100 %
2025/12/19 10:33:38.091, 318.64 W, 100 %
2025/12/19 10:33:39.092, 318.09 W, 100 %
2025/12/19 10:33:40.092, 319.51 W, 100 %
2025/12/19 10:33:41.092, 318.68 W, 100 %
2025/12/19 10:33:42.092, 319.49 W, 100 %
2025/12/19 10:33:43.092, 319.40 W, 100 %
2025/12/19 10:33:44.092, 317.10 W, 100 %
2025/12/19 10:33:45.093, 318.22 W, 100 %
2025/12/19 10:33:46.093, 318.86 W, 100 %
2025/12/19 10:33:47.093, 317.79 W, 100 %
2025/12/19 10:33:48.093, 319.08 W, 100 %
2025/12/19 10:33:49.093, 319.36 W, 100 %
2025/12/19 10:33:50.093, 319.28 W, 100 %
2025/12/19 10:33:51.094, 318.81 W, 100 %
2025/12/19 10:33:52.094, 317.40 W, 100 %
2025/12/19 10:33:53.094, 320.31 W, 100 %
2025/12/19 10:33:54.094, 319.16 W, 100 %
2025/12/19 10:33:55.094, 319.06 W, 100 %
2025/12/19 10:33:56.094, 320.36 W, 100 %
2025/12/19 10:33:57.095, 319.24 W, 100 %
2025/12/19 10:33:58.095, 318.97 W, 100 %
2025/12/19 10:33:59.095, 319.49 W, 100 %
2025/12/19 10:34:00.095, 318.41 W, 100 %
2025/12/19 10:34:01.095, 319.51 W, 100 %
2025/12/19 10:34:02.095, 320.52 W, 100 %
2025/12/19 10:34:03.095, 318.50 W, 100 %
2025/12/19 10:34:04.096, 318.60 W, 100 %
2025/12/19 10:34:05.096, 321.24 W, 100 %
2025/12/19 10:34:06.096, 318.25 W, 100 %
2025/12/19 10:34:07.096, 319.36 W, 100 %
