         Time         	W	
 03/01/2011 06:43:41	-62,5620	
 03/01/2011 06:43:42	-61,4730	
 03/01/2011 06:43:43	-62,6670	
 03/01/2011 06:43:44	-62,7100	
 03/01/2011 06:43:45	-64,0820	
 03/01/2011 06:43:46	-64,4460	
 03/01/2011 06:43:47	-62,2110	
 03/01/2011 06:43:48	-62,1510	
 03/01/2011 06:43:49	-61,2310	
 03/01/2011 06:43:50	-61,0050	
 03/01/2011 06:43:51	-61,4020	
 03/01/2011 06:43:52	-61,8980	
 03/01/2011 06:43:53	-61,6690	
 03/01/2011 06:43:54	-63,5870	
 03/01/2011 06:43:55	-63,9850	
 03/01/2011 06:43:56	-63,7170	
 03/01/2011 06:43:57	-63,9290	
 03/01/2011 06:43:58	-61,7930	
 03/01/2011 06:43:59	-61,9070	
 03/01/2011 06:44:00	-61,8780	
 03/01/2011 06:44:01	-61,5220	
 03/01/2011 06:44:02	-61,8260	
 03/01/2011 06:44:03	-62,1910	
 03/01/2011 06:44:04	-63,4550	
 03/01/2011 06:44:05	-65,6950	
 03/01/2011 06:44:06	-64,6890	
 03/01/2011 06:44:07	-63,8750	
 03/01/2011 06:44:08	-62,9780	
 03/01/2011 06:44:09	-61,1620	
 03/01/2011 06:44:10	-61,7710	
 03/01/2011 06:44:11	-62,2530	
 03/01/2011 06:44:12	-61,9850	
 03/01/2011 06:44:13	-62,1700	
 03/01/2011 06:44:14	-62,7110	
 03/01/2011 06:44:15	-64,0370	
 03/01/2011 06:44:16	-65,3520	
 03/01/2011 06:44:17	-65,9970	
 03/01/2011 06:44:18	-64,9460	
 03/01/2011 06:44:19	-63,6880	
 03/01/2011 06:44:20	-62,3200	
 03/01/2011 06:44:21	-61,8870	
 03/01/2011 06:44:22	-62,3120	
 03/01/2011 06:44:23	-62,4010	
 03/01/2011 06:44:24	-63,2310	
 03/01/2011 06:44:25	-65,2020	
 03/01/2011 06:44:26	-65,5440	
 03/01/2011 06:44:27	-66,3420	
 03/01/2011 06:44:28	-65,3990	
 03/01/2011 06:44:29	-64,5540	
 03/01/2011 06:44:30	-64,0590	
 03/01/2011 06:44:31	-64,2220	
 03/01/2011 06:44:32	-64,2940	
 03/01/2011 06:44:33	-64,1270	
 03/01/2011 06:44:34	-64,4700	
 03/01/2011 06:44:35	-64,4990	
 03/01/2011 06:44:36	-64,3650	
 03/01/2011 06:44:37	-63,1480	
 03/01/2011 06:44:38	-63,6520	
 03/01/2011 06:44:39	-62,9240	
 03/01/2011 06:44:40	-62,9060	
 03/01/2011 06:44:41	-62,9620	
 03/01/2011 06:44:42	-61,2660	
 03/01/2011 06:44:43	-60,8730	
 03/01/2011 06:44:44	-60,9710	
 03/01/2011 06:44:45	-63,9030	
 03/01/2011 06:44:46	-65,3290	
 03/01/2011 06:44:47	-65,5850	
 03/01/2011 06:44:48	-64,8630	
 03/01/2011 06:44:49	-63,6720	
 03/01/2011 06:44:50	-62,7400	
 03/01/2011 06:44:51	-62,8240	
 03/01/2011 06:44:52	-63,7000	
 03/01/2011 06:44:53	-62,9100	
