         Time         	W	
 09/11/2010 00:43:08	-407,600	
 09/11/2010 00:43:09	-406,960	
 09/11/2010 00:43:10	-407,620	
 09/11/2010 00:43:11	-408,900	
 09/11/2010 00:43:12	-408,280	
 09/11/2010 00:43:13	-408,430	
 09/11/2010 00:43:14	-407,990	
 09/11/2010 00:43:15	-408,400	
 09/11/2010 00:43:16	-408,680	
 09/11/2010 00:43:17	-408,760	
 09/11/2010 00:43:18	-408,990	
 09/11/2010 00:43:19	-409,010	
 09/11/2010 00:43:20	-408,860	
 09/11/2010 00:43:21	-408,980	
 09/11/2010 00:43:22	-408,940	
 09/11/2010 00:43:23	-408,160	
 09/11/2010 00:43:24	-408,620	
 09/11/2010 00:43:25	-408,570	
 09/11/2010 00:43:26	-408,470	
 09/11/2010 00:43:27	-409,330	
 09/11/2010 00:43:28	-409,430	
 09/11/2010 00:43:29	-409,820	
 09/11/2010 00:43:30	-410,450	
 09/11/2010 00:43:31	-410,460	
 09/11/2010 00:43:32	-410,250	
 09/11/2010 00:43:33	-409,520	
 09/11/2010 00:43:34	-409,300	
 09/11/2010 00:43:35	-409,000	
 09/11/2010 00:43:36	-408,070	
 09/11/2010 00:43:37	-408,220	
 09/11/2010 00:43:38	-408,050	
 09/11/2010 00:43:39	-407,760	
 09/11/2010 00:43:40	-408,630	
 09/11/2010 00:43:41	-408,640	
 09/11/2010 00:43:42	-408,410	
 09/11/2010 00:43:43	-408,930	
 09/11/2010 00:43:44	-408,840	
 09/11/2010 00:43:45	-407,760	
 09/11/2010 00:43:46	-408,510	
 09/11/2010 00:43:47	-408,240	
 09/11/2010 00:43:48	-407,770	
 09/11/2010 00:43:49	-409,500	
 09/11/2010 00:43:50	-408,770	
 09/11/2010 00:43:51	-408,420	
 09/11/2010 00:43:52	-407,690	
 09/11/2010 00:43:53	-406,930	
 09/11/2010 00:43:54	-407,050	
 09/11/2010 00:43:55	-407,220	
 09/11/2010 00:43:56	-408,130	
 09/11/2010 00:43:57	-407,960	
 09/11/2010 00:43:58	-409,820	
 09/11/2010 00:43:59	-409,170	
 09/11/2010 00:44:00	-409,090	
 09/11/2010 00:44:01	-409,340	
 09/11/2010 00:44:02	-408,350	
 09/11/2010 00:44:03	-408,290	
 09/11/2010 00:44:04	-408,390	
 09/11/2010 00:44:05	-408,670	
 09/11/2010 00:44:06	-409,300	
 09/11/2010 00:44:07	-409,220	
 09/11/2010 00:44:08	-409,730	
 09/11/2010 00:44:09	-410,240	
 09/11/2010 00:44:10	-409,970	
 09/11/2010 00:44:11	-410,270	
 09/11/2010 00:44:12	-410,270	
 09/11/2010 00:44:13	-409,710	
 09/11/2010 00:44:14	-409,790	
 09/11/2010 00:44:15	-409,970	
 09/11/2010 00:44:16	-409,620	
 09/11/2010 00:44:17	-409,560	
 09/11/2010 00:44:18	-409,410	
 09/11/2010 00:44:19	-408,920	
 09/11/2010 00:44:20	-408,770	
 09/11/2010 00:44:21	-408,660	
 09/11/2010 00:44:22	-408,660	
 09/11/2010 00:44:23	-408,950	
 09/11/2010 00:44:24	-408,560	
 09/11/2010 00:44:25	-408,380	
 09/11/2010 00:44:26	-408,000	
 09/11/2010 00:44:27	-407,960	
 09/11/2010 00:44:28	-408,380	
 09/11/2010 00:44:29	-408,560	
 09/11/2010 00:44:30	-409,200	
 09/11/2010 00:44:31	-409,260	
 09/11/2010 00:44:32	-409,420	
 09/11/2010 00:44:33	-409,610	
 09/11/2010 00:44:34	-409,580	
 09/11/2010 00:44:35	-409,130	
 09/11/2010 00:44:36	-409,330	
 09/11/2010 00:44:37	-409,640	
 09/11/2010 00:44:38	-408,650	
 09/11/2010 00:44:39	-409,350	
 09/11/2010 00:44:40	-409,320	
 09/11/2010 00:44:41	-408,270	
 09/11/2010 00:44:42	-409,920	
 09/11/2010 00:44:43	-409,760	
 09/11/2010 00:44:44	-409,060	
 09/11/2010 00:44:45	-410,140	
 09/11/2010 00:44:46	-408,840	
 09/11/2010 00:44:47	-408,940	
 09/11/2010 00:44:48	-409,560	
 09/11/2010 00:44:49	-409,530	
 09/11/2010 00:44:50	-410,400	
 09/11/2010 00:44:51	-410,390	
 09/11/2010 00:44:52	-409,790	
 09/11/2010 00:44:53	-409,310	
 09/11/2010 00:44:54	-410,630	
 09/11/2010 00:44:55	-410,250	
 09/11/2010 00:44:56	-410,670	
 09/11/2010 00:44:57	-411,140	
 09/11/2010 00:44:58	-410,130	
 09/11/2010 00:44:59	-409,590	
 09/11/2010 00:45:00	-409,290	
 09/11/2010 00:45:01	-408,930	
 09/11/2010 00:45:02	-409,240	
 09/11/2010 00:45:03	-408,940	
 09/11/2010 00:45:04	-408,800	
 09/11/2010 00:45:05	-408,890	
 09/11/2010 00:45:06	-408,860	
 09/11/2010 00:45:07	-408,930	
 09/11/2010 00:45:08	-408,820	
 09/11/2010 00:45:09	-407,870	
 09/11/2010 00:45:10	-407,710	
 09/11/2010 00:45:11	-407,890	
 09/11/2010 00:45:12	-407,700	
 09/11/2010 00:45:13	-408,680	
 09/11/2010 00:45:14	-408,440	
 09/11/2010 00:45:15	-408,140	
 09/11/2010 00:45:16	-407,650	
 09/11/2010 00:45:17	-407,810	
 09/11/2010 00:45:18	-408,270	
 09/11/2010 00:45:19	-408,640	
 09/11/2010 00:45:20	-409,370	
 09/11/2010 00:45:21	-408,860	
 09/11/2010 00:45:22	-408,140	
 09/11/2010 00:45:23	-408,770	
 09/11/2010 00:45:24	-409,060	
 09/11/2010 00:45:25	-409,180	
 09/11/2010 00:45:26	-409,450	
 09/11/2010 00:45:27	-408,700	
 09/11/2010 00:45:28	-408,100	
 09/11/2010 00:45:29	-408,370	
 09/11/2010 00:45:30	-408,440	
 09/11/2010 00:45:31	-408,360	
 09/11/2010 00:45:32	-409,500	
 09/11/2010 00:45:33	-409,020	
 09/11/2010 00:45:34	-408,120	
 09/11/2010 00:45:35	-408,770	
 09/11/2010 00:45:36	-407,620	
 09/11/2010 00:45:37	-407,290	
 09/11/2010 00:45:38	-409,100	
 09/11/2010 00:45:39	-408,690	
 09/11/2010 00:45:40	-409,080	
 09/11/2010 00:45:41	-409,480	
 09/11/2010 00:45:42	-408,700	
 09/11/2010 00:45:43	-408,820	
 09/11/2010 00:45:44	-408,150	
 09/11/2010 00:45:45	-408,220	
 09/11/2010 00:45:46	-408,080	
 09/11/2010 00:45:47	-406,970	
 09/11/2010 00:45:48	-407,640	
 09/11/2010 00:45:49	-408,160	
 09/11/2010 00:45:50	-408,480	
 09/11/2010 00:45:51	-409,060	
 09/11/2010 00:45:52	-409,030	
 09/11/2010 00:45:53	-408,530	
 09/11/2010 00:45:54	-408,280	
 09/11/2010 00:45:55	-408,350	
 09/11/2010 00:45:56	-408,250	
 09/11/2010 00:45:57	-408,070	
 09/11/2010 00:45:58	-408,240	
 09/11/2010 00:45:59	-408,630	
 09/11/2010 00:46:00	-408,900	
 09/11/2010 00:46:01	-409,330	
 09/11/2010 00:46:02	-409,250	
 09/11/2010 00:46:03	-409,350	
 09/11/2010 00:46:04	-409,680	
 09/11/2010 00:46:05	-409,330	
 09/11/2010 00:46:06	-409,260	
 09/11/2010 00:46:07	-409,240	
 09/11/2010 00:46:08	-408,720	
 09/11/2010 00:46:09	-409,150	
 09/11/2010 00:46:10	-409,800	
 09/11/2010 00:46:11	-409,850	
 09/11/2010 00:46:12	-409,800	
 09/11/2010 00:46:13	-409,800	
 09/11/2010 00:46:14	-409,340	
 09/11/2010 00:46:15	-408,630	
 09/11/2010 00:46:16	-408,330	
 09/11/2010 00:46:17	-407,690	
 09/11/2010 00:46:18	-407,140	
 09/11/2010 00:46:19	-407,860	
 09/11/2010 00:46:20	-408,570	
 09/11/2010 00:46:21	-408,340	
 09/11/2010 00:46:22	-409,480	
 09/11/2010 00:46:23	-409,110	
 09/11/2010 00:46:24	-407,830	
 09/11/2010 00:46:25	-409,270	
 09/11/2010 00:46:26	-408,630	
 09/11/2010 00:46:27	-409,130	
 09/11/2010 00:46:28	-410,160	
 09/11/2010 00:46:29	-409,680	
 09/11/2010 00:46:30	-410,290	
 09/11/2010 00:46:31	-409,690	
 09/11/2010 00:46:32	-409,510	
 09/11/2010 00:46:33	-409,100	
 09/11/2010 00:46:34	-408,290	
 09/11/2010 00:46:35	-408,290	
 09/11/2010 00:46:36	-409,170	
 09/11/2010 00:46:37	-409,400	
 09/11/2010 00:46:38	-410,730	
 09/11/2010 00:46:39	-412,170	
 09/11/2010 00:46:40	-412,190	
 09/11/2010 00:46:41	-412,650	
 09/11/2010 00:46:42	-411,570	
 09/11/2010 00:46:43	-410,540	
 09/11/2010 00:46:44	-409,390	
 09/11/2010 00:46:45	-408,610	
 09/11/2010 00:46:46	-408,630	
 09/11/2010 00:46:47	-408,690	
 09/11/2010 00:46:48	-408,830	
 09/11/2010 00:46:49	-408,940	
 09/11/2010 00:46:50	-408,830	
 09/11/2010 00:46:51	-408,720	
 09/11/2010 00:46:52	-408,360	
 09/11/2010 00:46:53	-407,920	
 09/11/2010 00:46:54	-407,450	
 09/11/2010 00:46:55	-407,500	
 09/11/2010 00:46:56	-407,600	
 09/11/2010 00:46:57	-407,690	
 09/11/2010 00:46:58	-408,090	
 09/11/2010 00:46:59	-408,090	
 09/11/2010 00:47:00	-408,560	
 09/11/2010 00:47:01	-409,270	
 09/11/2010 00:47:02	-409,560	
 09/11/2010 00:47:03	-409,910	
 09/11/2010 00:47:04	-409,600	
 09/11/2010 00:47:05	-408,600	
 09/11/2010 00:47:06	-408,980	
 09/11/2010 00:47:07	-408,730	
 09/11/2010 00:47:08	-407,700	
 09/11/2010 00:47:09	-409,020	
 09/11/2010 00:47:10	-408,710	
 09/11/2010 00:47:11	-408,560	
 09/11/2010 00:47:12	-409,800	
 09/11/2010 00:47:13	-409,480	
 09/11/2010 00:47:14	-409,210	
 09/11/2010 00:47:15	-409,440	
 09/11/2010 00:47:16	-409,330	
 09/11/2010 00:47:17	-409,110	
 09/11/2010 00:47:18	-409,520	
 09/11/2010 00:47:19	-408,960	
 09/11/2010 00:47:20	-408,720	
 09/11/2010 00:47:21	-408,030	
 09/11/2010 00:47:22	-407,280	
 09/11/2010 00:47:23	-407,810	
 09/11/2010 00:47:24	-407,640	
 09/11/2010 00:47:25	-407,990	
 09/11/2010 00:47:26	-408,130	
 09/11/2010 00:47:27	-407,600	
 09/11/2010 00:47:28	-408,030	
 09/11/2010 00:47:29	-408,230	
 09/11/2010 00:47:30	-408,400	
 09/11/2010 00:47:31	-408,770	
 09/11/2010 00:47:32	-409,210	
 09/11/2010 00:47:33	-409,250	
 09/11/2010 00:47:34	-408,560	
 09/11/2010 00:47:35	-409,250	
 09/11/2010 00:47:36	-409,130	
 09/11/2010 00:47:37	-408,430	
 09/11/2010 00:47:38	-408,990	
 09/11/2010 00:47:39	-408,240	
 09/11/2010 00:47:40	-406,710	
 09/11/2010 00:47:41	-407,420	
 09/11/2010 00:47:42	-406,900	
 09/11/2010 00:47:43	-406,860	
 09/11/2010 00:47:44	-407,180	
 09/11/2010 00:47:45	-406,450	
 09/11/2010 00:47:46	-406,140	
 09/11/2010 00:47:47	-406,170	
 09/11/2010 00:47:48	-406,830	
 09/11/2010 00:47:49	-406,070	
