timestamp, power.draw [W], utilization.gpu [%]
2025/12/05 13:47:54.262, 11.77 W, 0 %
2025/12/05 13:47:55.262, 11.72 W, 0 %
2025/12/05 13:47:56.262, 11.76 W, 0 %
2025/12/05 13:47:57.262, 11.84 W, 0 %
2025/12/05 13:47:58.262, 11.83 W, 0 %
2025/12/05 13:47:59.263, 11.79 W, 0 %
2025/12/05 13:48:00.263, 11.90 W, 0 %
2025/12/05 13:48:01.263, 11.94 W, 0 %
2025/12/05 13:48:02.263, 11.85 W, 0 %
2025/12/05 13:48:03.263, 11.76 W, 0 %
2025/12/05 13:48:04.263, 11.68 W, 0 %
2025/12/05 13:48:05.264, 11.70 W, 0 %
2025/12/05 13:48:06.264, 11.73 W, 0 %
2025/12/05 13:48:07.264, 11.70 W, 0 %
2025/12/05 13:48:08.264, 11.79 W, 0 %
2025/12/05 13:48:09.264, 11.77 W, 0 %
2025/12/05 13:48:10.264, 11.82 W, 0 %
2025/12/05 13:48:11.265, 11.85 W, 0 %
2025/12/05 13:48:12.265, 11.80 W, 0 %
2025/12/05 13:48:13.265, 11.75 W, 0 %
2025/12/05 13:48:14.265, 11.75 W, 0 %
2025/12/05 13:48:15.265, 11.88 W, 0 %
2025/12/05 13:48:16.265, 11.84 W, 0 %
2025/12/05 13:48:17.266, 11.84 W, 0 %
2025/12/05 13:48:18.266, 11.83 W, 0 %
2025/12/05 13:48:19.266, 12.06 W, 9 %
2025/12/05 13:48:20.266, 12.20 W, 0 %
2025/12/05 13:48:21.266, 17.68 W, 0 %
2025/12/05 13:48:22.266, 20.40 W, 0 %
2025/12/05 13:48:23.266, 19.89 W, 0 %
2025/12/05 13:48:24.267, 12.20 W, 1 %
2025/12/05 13:48:25.267, 12.10 W, 0 %
2025/12/05 13:48:26.267, 12.03 W, 0 %
2025/12/05 13:48:27.267, 12.05 W, 0 %
2025/12/05 13:48:28.267, 12.24 W, 0 %
2025/12/05 13:48:29.267, 12.20 W, 0 %
2025/12/05 13:48:30.267, 12.38 W, 6 %
2025/12/05 13:48:31.268, 12.20 W, 0 %
